cell,umax,obstacles,sweep,sweep_var,tol,admm_max_iter,scp_iter,seed,cos_AD,rel_l2_AD,sign_AD,descent_AD,cos_FD,rel_l2_FD,sign_FD,descent_FD,gnorm,conv_error,num_iter,admm_iters_last,eq_viol,ineq_viol,n_active,n_active_box,n_active_obs,cos_AD_FD_tight,fwd_ms,bwd_ms
C3_loose_on,10000.0,1,tol,0.01,0.01,800,15,3,0.9999940999249237,0.014234739732615758,1.0,1.0,0.99375591869627,0.5568954986492076,0.8571428571428571,1.0,17.65066218906011,0.0586469712388681,15,17.0,0.034220374644780414,0.06259635765673364,7.0,0.0,7.0,0.9940724219679363,nan,764.2634850926697
C3_loose_on,10000.0,1,tol,0.001,0.001,800,15,0,0.999997225668785,0.003910273138958083,1.0,1.0,0.99662095299365,0.5812446227205682,0.5714285714285714,1.0,32.346914320875555,0.0016402422471765202,15,3.0,0.003795423206946851,0.01193880509900366,6.0,0.0,6.0,0.9966507603546507,nan,1618.6657869257033
C3_loose_on,10000.0,1,tol,0.001,0.001,800,15,1,0.9999967490878592,0.04914967283938232,1.0,1.0,0.9999332879791125,0.5435407238548293,0.8571428571428571,1.0,41.575182836297365,0.0007846463578099032,11,2.0,0.002601996322264881,0.014056972433239829,5.0,0.0,5.0,0.9999455493541995,nan,1618.6657869257033
C3_loose_on,10000.0,1,tol,0.001,0.001,800,15,2,0.9999996546506488,0.013341030079767573,1.0,1.0,0.9999968752048795,0.5697109750320892,0.8571428571428571,1.0,43.645790439939795,0.004262372763557069,15,9.0,0.006539631047176022,1.8338250788112187e-05,5.0,0.0,5.0,0.9999973575100257,nan,1618.6657869257033
C3_loose_on,10000.0,1,tol,0.001,0.001,800,15,3,0.9999552385119991,0.04228086755866002,1.0,1.0,0.9931035020396544,0.5696140882215862,0.8571428571428571,1.0,17.15965804195364,0.007010962719017744,15,21.0,0.004242139262244664,0.013959327852508729,7.0,0.0,7.0,0.9940724219679363,nan,1618.6657869257033
C3_loose_on,10000.0,1,tol,0.0001,0.0001,800,15,0,0.9999999402566854,0.0007690071896754442,1.0,1.0,0.9966442601948925,0.5802083402922663,0.5714285714285714,1.0,32.42598838035845,0.00043211002476889124,15,25.0,0.0002919548262174501,0.0014412515119365914,6.0,0.0,6.0,0.9966507603546507,nan,3369.424144271761
C3_loose_on,10000.0,1,tol,0.0001,0.0001,800,15,1,0.9999999963845929,0.002511359588130238,1.0,1.0,0.9999449954783813,0.5211745938748961,0.8571428571428571,1.0,43.611582569836116,0.0021642061443110623,15,43.0,0.0007275506381429874,0.0,5.0,0.0,5.0,0.9999455493541995,nan,3369.424144271761
C3_loose_on,10000.0,1,tol,0.0001,0.0001,800,15,2,0.9999999989426152,5.156964669050396e-05,1.0,1.0,0.9999973801186766,0.5753545900380894,0.8571428571428571,1.0,43.07329779955881,0.0004507453871332133,15,7.0,0.0002819914390946964,0.0015393920678479084,5.0,0.0,5.0,0.9999973575100257,nan,3369.424144271761
C3_loose_on,10000.0,1,tol,0.0001,0.0001,800,15,3,0.9999980737632473,0.00803268768013503,1.0,1.0,0.9942349476420115,0.5468781048319508,0.8571428571428571,1.0,18.037388312700845,0.0065870919106267595,15,72.0,0.00027038788267885717,0.0023260109639476464,7.0,0.0,7.0,0.9940724219679363,nan,3369.424144271761
C3_loose_on,10000.0,1,tol,1e-06,1e-06,800,15,0,0.9999999993041644,0.00010161535672219862,1.0,1.0,0.9966496165377478,0.5799566037639781,0.5714285714285714,1.0,32.44521328347129,0.000203224580761191,15,119.0,1.975568933543908e-06,4.86907602870526e-06,6.0,0.0,6.0,0.9966507603546507,nan,5722.3936836235225
